Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Сірченко Дарина;Дмитрівна;жінка;08-04-2001;Пекар;хутір Радивилів;шосе Миколи Гефта, буд. 040, Первомайський , 96660;070 292 67 82;arsenychruslan@example.com
Заїка Вадим;Валерійович;чоловік;27-12-2005;Географ;селище Мирноград;узвіз Басейний 6-й, буд. 69 кв. 9, Бар, 85228;+380 54 334-32-04;chmiltrokhym@example.net
Панчук Данна;Іванівна;жінка;12-11-1988;Кінокритик;місто Заліщики;вулиця Пісочний, буд. 20 кв. 708, Рубіжне, 89897;+380 (54) 326-44-53;serhii56@example.net
Вітрук Микита;Анатолійович;чоловік;17-03-1979;Акушер;селище Жашків;провулок Семінарська, буд. 082, Теребовля, 14372;+380 (36) 478-69-41;qverkhola@example.net
Скорик Спас;Сергійович;чоловік;13-07-1946;Стропальник;місто Андрушівка;шосе Василя Кандинського 4-й, буд. 51, Миронівка, 89122;874-53-58;alla96@example.net
Сірко Ярослава;Олександрівна;жінка;06-12-1980;Бібліограф;хутір Щастя ;парк Садова, буд. 80, Мирноград, 77189;+380 58 420-46-34;shutkoolena@example.net
Шморгун Дмитро;Махайлович;чоловік;09-10-1977;Кухар;село Новоукраїнка;провулок Парашутний, буд. 54 кв. 4, Рені, 52495;026 186 12 63;konoplenkoiaroslav@example.org
Чаленко Володимира;Володимирівна;жінка;26-01-1974;Диригент;місто Долинська;проспект Каретний, буд. 3 кв. 763, Христинівка, 51664;435 34 13;pylypbandurka@example.org
Стець Ганна;Миколайович;жінка;05-12-1957;Підприємець;селище Черкаси;узвіз Проектна 1-ша, буд. 8 кв. 90, Щолкіне, 87153;023 098 03 05;shvaikabohuslav@example.net
Андріїшин Лариса;Олександрівна;жінка;01-05-1960;Клавішник;селище Тетіїв;узвіз Олександра Тимошенка, буд. 775, Долинська, 81177;+380 42 807-39-87;smishchenko@example.org
Левченко Пріска;Махайлівна;жінка;04-11-1989;Зоолог;місто Берестечко;сквер Суперфосфатна, буд. 143, Мена , 18485;+380 68 182-51-83;gromanenko@example.org
Килимник Юхим;Васильович;чоловік;10-04-1991;Водій;селище Ватутіне;площа Лінія 48-ма, буд. 30, Гола Пристань, 98343;+380 (96) 573-21-37;kchupryna@example.net
Андрієвич Назар;Вікторович;чоловік;01-04-1986;Геолог;селище Вишгород;провулок Наявний 2-й, буд. 36, Пустомити, 57335;841 22 21;jgoliash@example.org
Примаченко Миколай;Анатолійович;чоловік;25-07-1999;Антрополог;місто Новодністровськ;провулок Лінія 54-та, буд. 367 кв. 761, Верхівцеве, 03542;042 234-65-04;huziimartyn@example.net
